一个	یک (حرف تعریف نامعین)	yī gè
原料	جنس؛ بساط	yuán liào
闷热的	محافظه کار	mēn rè de
窒息的	محافظه کار	zhì xī de
绊倒	لغزاندن؛ سقطه	bàn dǎo
蹒跚而行	لغزاندن؛ سقطه	pán shān ér háng
树桩	سنگینکندهدرخت؛ ته شاخه	shù zhuāng
受惊的	خیره شدن؛ بهت زده	shòu jīng de
糊涂事	خرف؛ حماقت	hú tu shì
愚蠢地	احمقانه؛ بی خردانه	yú chǔn de
无感觉	گیجی؛ کند ذهنی	wú gǎn jué
人事不省	گیجی؛ کند ذهنی	rén shì bù shěng
猪栏	شعیره؛ در طویله قرار دادن	zhū lán
猪圈	شعیره؛ در طویله قرار دادن	zhū juàn
风格	سبک	fēng gé
时尚	سبک	shí shàng
现代风格的	شیک	xiàn dài fēng gé de
稍尖的	زیرحاد	shāo jiān de
亚急性的	زیرحاد	yà jí xìng de
细分	بخشیزه؛ زیرقسمت	xì fēn
分部	بخشیزه؛ زیرقسمت	fēn bù
使服从	مقهور کردن؛ رام کردن	shǐ fú cóng
科目	موضوع	kē mù
壮观的	متعال؛ برین	zhuàng guān de
潜水艇	زیردریایی؛ تحت البحری	qián shuǐ tǐng
海底生物	زیردریایی؛ تحت البحری	hǎi dǐ shēng wù
使受到	تسلیم کردن؛ تمکین کردن	shǐ shòu dào
下级地位	مادونی؛ فرمان برداری	xià jí dì wèi
隶属	مادونی؛ فرمان برداری	lì shǔ
捐献	اشتراک کردن؛ مشترک شدن	juān xiàn
签署	اشتراک کردن؛ مشترک شدن	qiān shǔ
订金	اشتراک؛ آبونمان	dìng jīn
后来的	بعدی	hòu lái de
接下去的	بعدی	jiē xià qù de
辅助性	زیر زاوری	fǔ zhù xìng
从属性	زیر زاوری	cóng shǔ xìng
沉淀	نشست کردن؛ فروکش کردن	chén diàn
沉降	نشست کردن؛ فروکش کردن	chén jiàng
补助金	کمک مالی؛ کمک هزینه	bǔ zhù jīn
供给食物	گذران کردن	gōng jǐ shí wù
供养	گذران کردن	gōng yǎng
有实质的	شبیه اسم؛ مقدار زیاد	yǒu shí zhì de
独立存在的	شبیه اسم؛ مقدار زیاد	dú lì cún zài de
代理	عوض؛ جانشین	dài lǐ
代用品	عوض؛ جانشین	dài yòng pǐn
地下的	تحت الارضی	dì xià de
市郊住宅区	حومه شهر	shì jiāo zhù zhái qū
郊区	حومه شهر	jiāo qū
郊外的	برون شهری	jiāo wài de
郊区的	برون شهری	jiāo qū de
从事颠覆的	خرابکارانه	cóng shì diān fù de
颠覆	واژگون ساختن	diān fù
成功	موفق شدن	chéng gōng
一帆风顺的	موفق	yī fān fēng shùn de
结果良好	به موفقیت؛ با موفقیت	jiē guǒ liáng hǎo
继承权	جانشینی؛ خلافت	jì chéng quán
接连着地	متواترا	jiē lián zháo dì
相继地	متواترا	xiāng jì de
继承者	جانشین؛ خلف	jì chéng zhě
接任者	جانشین؛ خلف	jiē rèn zhě
救援	موجب کمک	jiù yuán
援助者	موجب کمک	yuán zhù zhě
如此的	چنین	rú cǐ de
这样的	چنین	zhè yàng de
吸	مکیدن؛ مک زدن	xī
吮	مکیدن؛ مک زدن	shǔn
乳儿	شیر خوار؛ بچه شیری	rǔ rén
乳臭未干的小子	شیر خوار؛ بچه شیری	rǔ xiù wèi gān de xiǎo zǐ
突然	تند؛ ناگهان	tū rán
忽然	تند؛ ناگهان	hū rán
遭受	خون کردن؛ خون شدن	zāo shòu
受难者	متحمل؛ درد کش	shòu nàn zhě
被害者	متحمل؛ درد کش	bèi hài zhě
苦难	رنج	kǔ nàn
受苦	رنج	shòu kǔ
足够	کفایت کردن؛ کافی بودن	zú gòu
有能力	کفایت کردن؛ کافی بودن	yǒu néng lì
充分的数量	کفایت؛ تکافو	chōng fèn de shù liàng
窒息性的	گلو گیر	zhì xī xìng de
糖	شکر	táng
甜言蜜语	شکر	tián yán mì yǔ
含糖的	شکری؛ شیرین زبان	hán táng de
糖一般的	شکری؛ شیرین زبان	táng yī bān de
提示性的	حاکی؛ تلقینی	tí shì xìng de
影射的	حاکی؛ تلقینی	yǐng shè de
自杀的	مذبوحانه	zì shā de
自杀性的	مذبوحانه	zì shā xìng de
自杀	خودکشی؛ انتحار	zì shā
套装	کت و شلوار، مناسب بودن	tào zhuāng
适当	مناسبت؛ سازگاری	shì dàng
相配的	مقتضی؛ درخور	xiāng pèi de
手提箱	چمدان؛ جامه دان	shǒu tí xiāng
随员	قطعه موسیقی؛ خدم و حشم	suí yuán
套房	قطعه موسیقی؛ خدم و حشم	tào fáng
起诉者	خواستگار؛ عرضحال دهنده	qǐ sù zhě
请愿者	خواستگار؛ عرضحال دهنده	qǐng yuàn zhě
生闷气	قهر	shēng mèn qì
愠怒	قهر	yùn nù
愠怒的	غیر معاشر	yùn nù de
硫酸盐	سولفات	liú suān yán
硫酸酯	سولفات	liú suān zhǐ
硫	گوگرد؛ کبریت	liú
苏丹	سلطان	sū dān
总和	وجه؛ مجموع	zǒng hé
概要地	جستهو گریخته	gài yào de
概述	خلاصه کردن؛ چکیده کردن	gài shù
总结	خلاصه کردن؛ چکیده کردن	zǒng jié
概要	خلاصه؛ ملخص	gài yào
夏季	تابستان	xià jì
全盛时期	تابستان	quán shèng shí qī
最高阶层	قله؛ اعلی درجه	zuì gāo jiē céng
召唤	فراخوانی؛ احضاریه	zhào huàn
太阳	خورشید	tài yang
日	خورشید	rì
星期日	یکشنبه	xīng qī rì
业余的	یکشنبه	yè yú de
向日葵	روزگردک؛ گل آفتاب پرست	xiàng rì kuí
沉没的	فرورفته؛ غرق شده	chén mò de
下凹的	فرورفته؛ غرق شده	xià āo de
阳光充足的	آفتابی؛ آفتاب گیر	yáng guāng chōng zú de
日出	مطلع؛ سحرگاه	rì chū
日落	غروب؛ افول	rì luò
晚年	غروب؛ افول	wǎn nián
光明	نور آفتاب	guāng míng
跑龙套角色	فوق‌العاده	pǎo lóng tào jué sè
冗员	فوق‌العاده	rǒng yuán
极度的	بسیار خوب	jí dù de
表面	سطحی؛ صوری	biǎo miàn
浅层	صورتا	jiān céng
过剩的	غیر ضروری	guò shèng de
超人的	مافوق انسانی	chāo rén de
监督人	ناظم	jiān dū rén
主管人	ناظم	zhǔ guǎn rén
长者	ارشد؛ مافوق	zhǎng zhě
占优势的人	ارشد؛ مافوق	zhàn yōu shì de rén
优越	شرف؛ تفوق	yōu yuè
高傲	شرف؛ تفوق	gāo ào
超级市场	سوپرمارکت	chāo jí shì chǎng
自助售货商店	سوپرمارکت	zì zhù shòu huò shāng diàn
超自然的	فوق العاده؛ مافوق طبیعت	chāo zì rán de
神奇的	فوق العاده؛ مافوق طبیعت	shén qí de
迷信	موهومات	mí xìn
迷信的	موهوم؛ خرافاتی	mí xìn de
由迷信引起的	موهوم؛ خرافاتی	yóu mí xìn yǐn qǐ de
监督者	سرپرست؛ ناظر	jiān dū zhě
逢迎的	کش دار	féng yíng de
补充物	ضمیمه؛ تکمله	bǔ chōng wù
增刊	ضمیمه؛ تکمله	zēng kān
供给国	کارپرداز؛ تهیه کننده	gōng jǐ guó
补给	عرضه؛ تهیه کردن	bǔ jǐ
后盾	طرفدار؛ هواخواه	hòu dùn
推想	فرض کردن	tuī xiǎng
想象上	بفرض	xiǎng xiàng shǎng
看上去像	بفرض	kàn shang qu xiàng
使止住	سرکوب کردن؛ سرکوبی کردن	shǐ zhǐ zhù
抑压	سرکوب؛ سرکوبی	yì yā
至高	عالی؛ عظما	zhì gāo
霸权	عالی؛ عظما	bà quán
确信	مطمئن	què xìn
的确地	بداخم؛ البته	dí què de
安全地	بداخم؛ البته	ān quán de
海浪	خیزآب	hǎi làng
拍岸浪	خیزآب	pāi àn làng
面	سطح؛ رویه	miàn
巨涌	موج زدن؛ موجدار بودن	jù chōng
汹涌	موج زدن؛ موجدار بودن	xiōng yǒng
外科医生	جراح	wài kē yī shēng
军医	جراح	jūn yī
外科	جراحی؛ عمل جراحی	wài kē
外科的	عمل جراحی	wài kē de
外科医生的	عمل جراحی	wài kē yī shēng de
不和蔼的	بدمزاج	bù hé ǎi de
姓	شهرت؛ ورنام	xìng
别号	شهرت؛ ورنام	bié hào
过剩	اضافات؛ مازاد	guò shèng
惊奇	غافلگیری، غافلگیر کردن	jīng qí
奇袭	غافلگیری، غافلگیر کردن	qí xí
感到惊讶的	غافلگیر شده	gǎn dào jīng yà de
使人惊奇	متعجبانه	shǐ rén jīng qí
出人意外	متعجبانه	chū rén yì wài
交出	تسلیم؛ تسلیم شدن	jiāo chū
环绕	محصور کردن؛ احاطه کردن	huán rào
纵览	ممیزی؛ تخطیط	zòng lǎn
视察	ممیزی؛ تخطیط	shì chá
测量员	ممیز؛ مساح	cè liáng yuán
残存	بقا	cán cún
生还者	بازمانده	shēng huán zhě
幸存者	بازمانده	xìng cún zhě
易受影响的	مستعد؛ فروگیر	yì shòu yǐng xiǎng de
易感动的	مستعد؛ فروگیر	yì gǎn dòng de
被怀疑者	مظنون؛ موردشک	bèi huái yí zhě
嫌疑犯	مظنون؛ موردشک	xián yí fàn
悬	به حالت تعلیق درآوردن	xuán
吊	به حالت تعلیق درآوردن	diào
悬疑	درحال تعلیق	xuán yí
觉察	شک؛ ظن	jué chá
多疑的	مشکوک؛ ظنین	duō yí de
足可支撑的	پایدار	jù kě zhī chēng de
养得起的	پایدار	yǎng dé qǐ de
生活资料	روزی؛ استعانت مالی	shēng huó zī liào
拖把	سنبه جراحی	tuō bǎ
药签	سنبه جراحی	yào qiān
大摇大摆	کبر فروشی؛ خود فروشانهگام زدن	dà yáo dà bǎi
燕子	قورت دادن	yàn zi
吞咽	قورت دادن	tūn yàn
进退两难的困境	مرداب؛ لجنزار	jìn tuì liǎng nán de kùn jìng
天鹅	غو؛ دجاجه	tiān é
有才华的诗人	غو؛ دجاجه	yǒu cái huá de shī rén
出风头	قروغمزه آمدن؛ شیک وبا	chū fēng tou
聚集一块	هجوم کردن؛ ازدحام کردن	jù jí yī kuài
黑黝黝的	گندمگون؛ تیره روی	hēi yǒu yǒu de
发誓	سوگند؛ ناسزا	fā shì
宣誓	دشنام؛ لعن	xuān shì
水珠	عرق؛ رشحه	shuǐ zhū
毛衣	پلیور	máo yī
毛线衫	پلیور	máo xiàn shān
瑞典	سوئد	ruì diǎn
瑞典人	سوئدی	ruì diǎn rén
瑞典语	سوئدی	ruì diǎn yǔ
打扫	روبیدن؛ جاروب کردن	dǎ sǎo
心上人	نگار؛ محبوبه	xīn shàng rén
芳香	شیرینی؛ حلاوت	fāng xiāng
隆起的部分	غلپیدن؛ باد کردن	lóng qǐ de bù fen
扫过的	کج شده	sǎo guò de
褐雨燕	تندرو؛ تکاور	hè yǔ yàn
快速爬行的小蜥蜴	تندرو؛ تکاور	kuài sù pá xíng de xiǎo xī yì
漂浮	شنا کردن	piāo fú
游泳者	شناگر؛ شناکننده	yóu yǒng zhě
眩晕	شنا	xuàn yùn
骗取	کلاه برداری	piàn qǔ
摇摆	تاب؛ نوسان	yáo bǎi
振幅	تاب؛ نوسان	zhèn fú
嗖嗖声	پیرومد؛ فش فش	sōu sōu shēng
嗖地挥动	پیرومد؛ فش فش	sōu de huī dòng
瑞士人	سویسی	ruì shì rén
瑞士腔调	سویسی	ruì shì qiāng diào
开关	کلید؛ سویچ	kāi guān
电闸	کلید؛ سویچ	diàn zhá
瑞士	سوئیس؛ سوییس	ruì shì
肿大的	متورم؛ تاخیری	zhǒng dà de
涨水的	متورم؛ تاخیری	zhǎng shuǐ de
刀	شمشیر؛ سیف	dāo
剑	شمشیر؛ سیف	jiàn
音节	هجا؛ سیلاب	yīn jié
字节	هجا؛ سیلاب	zì jié
共栖	زندگی تعاونی	gòng qī
共同生活	زندگی تعاونی	gòng tóng shēng huó
符号的	نمادی	fú hào de
症状	علامت	zhèng zhuàng
征候	علامت	zhēng hòu
晕厥的	غشی؛ غش دار	yūn jué de
音省略	سنکوپ	yīn shěng lüè
中略	سنکوپ	zhōng lüè
同义词的	مرادف؛ مترادف	tóng yì cí de
同义的	مرادف؛ مترادف	tóng yì de
句法的	نحوی	jù fǎ de
句法上的	نحوی	jù fǎ shǎng de
梅毒	سفلیس	méi dú
叙利亚人	شامی؛ سوریه ای	xù lì yà rén
叙利亚语	شامی؛ سوریه ای	xù lì yà yǔ
注射器	سرنگ؛ آبدزدک	zhù shè qì
洗涤器	سرنگ؛ آبدزدک	xǐ dí qì
系统	سامانه؛ سیستم؛ نظام	xì tǒng
体系	سامانه؛ سیستم؛ نظام	tǐ xì
有系统的	ترتیبی	yǒu xì tǒng de
分类上的	ترتیبی	fēn lèi shǎng de
桌子	میز	zhuō zi
餐桌	میز	cān zhuō
平板	قرص؛ لوحه	píng bǎn
门牌	قرص؛ لوحه	mén pái
单面小鼓	دمبک	shàn miàn xiǎo gǔ
敲小鼓	دمبک	qiāo xiǎo gǔ
沉默寡言的	کم سخن؛ کم گفتار	chén mò guǎ yán de
不太说话的	کم سخن؛ کم گفتار	bù tài shuō huà de
平头钉	میخچه؛ پونز زدن	píng tóu dīng
复滑车	رسیدگی کردن، تکل	fù huá chē
机智	مردم داری	jī zhì
手法	مردم داری	shǒu fǎ
机智的	مردم دار؛ موقع شناس	jī zhì de
一项战术	جنگ فن؛ جنگ فنی	yī xiàng zhàn shù
一条策略	جنگ فن؛ جنگ فنی	yī tiáo cè lüè
战术的	سوقالجیشی؛ تاکتیکی	zhàn shù de
用兵上的	سوقالجیشی؛ تاکتیکی	yòng bīng shǎng de
触觉的	لامسه ای	chù jué de
不机智的	بی نزاکت؛ موقع نشناس	bù jī zhì de
不机敏的	بی نزاکت؛ موقع نشناس	bù jī mǐn de
后部	دم؛ ذنب	hòu bù
有尾的	دم دار	yǒu wěi de
去掉尾的	دم دار	qù diào wěi de
成衣匠	خیاط؛ درزی	chéng yī jiàng
取	گرفتن	qǔ
天资高的	هنرمند؛ بااستعداد	tiān zī gāo de
有才能的	هنرمند؛ بااستعداد	yǒu cái néng de
交谈	صحبت کردن	jiāo tán
喜欢说话的	وراج؛ پرگو	xǐ huan shuō huà de
饶舌的	وراج؛ پرگو	ráo shé de
说话的人	نطاق	shuō huà de rén
饶舌者	نطاق	ráo shé zhě
油脂	پیه مالی کردن	yóu zhī
动物脂油	پیه مالی کردن	dòng wù zhī yóu
驯服的	آموخته؛ رام	xùn fú de
驯服	دست آموز	xùn fú
柑橘	نارنگی	gān jú
可触知的东西	لمس کردنی	kě chù zhī de dōng xī
有形资产	لمس کردنی	yǒu xíng zī chǎn
缠结	گوریده کردن؛ درهم پیچیدن	chán jié
纠结的一团	گوریده کردن؛ درهم پیچیدن	jiū jié de yī tuán
纠缠的	گوریده؛ ژولیده	jiū chán de
同等的	هم کف	tóng děng de
轻打	ضربه زدن، شیر آب	qīng dǎ
水龙头	ضربه زدن، شیر آب	shuǐ lóng tóu
录音带	نوار؛ باندرل	lù yīn dài
挂毯	ملیله دوزی	guà tǎn
绒绣	ملیله دوزی	róng xiù
焦油	قیر زدن؛ قیرمالیدن به	jiāo yóu
柏油	قیر زدن؛ قیرمالیدن به	bǎi yóu
靶子	هدف؛ نشانگاه	bǎ zi
价格表	تعرفه	jià gé biǎo
睑板	خرده پا	jiǎn bǎn
酒石	تاتار	jiǔ shí
牙垢	تاتار	yá gòu
流苏	منگوله؛ شرابه	liú sū
缨	منگوله؛ شرابه	yīng
品味	مزه؛ سلیقه	pǐn wèi
归营号	خال کوبیدن؛ خال کوبی کردن	guī yíng háo
连续有节奏的敲击	خال کوبیدن؛ خال کوبی کردن	lián xù yǒu jié zòu de qiāo jī
纹身	خال کوبی	wén shēn
黄褐色的	گندمی؛ گندمگون	huáng hè sè de
茶色的	گندمی؛ گندمگون	chá sè de
税	مالیات؛ باج	shuì
重负	مالیات؛ باج	zhòng fù
课税	مالیاتی؛ مالیات بندی	kè shuì
征税	مالیاتی؛ مالیات بندی	zhēng shuì
纳税人	مالیات دهنده؛ مالیات پرداز	nà shuì rén
纳税义务人	مالیات دهنده؛ مالیات پرداز	nà shuì yì wù rén
浸剂	چای	jìn jì
讲授	آموزش دادن	jiǎng shòu
教师	معلم	jiào shī
老师	معلم	lǎo shī
教学	تعلیم؛ معلمی	jiào xué
泪滴	اشک؛ دریدن	lèi dī
眼泪	اشک؛ دریدن	yǎn lèi
含泪的	گریان؛ اشکبار	hán lèi de
使人流泪的	گریان؛ اشکبار	shǐ rén liú lèi de
泪汪汪地	گریه کنان	lèi wāng wāng de
流泪地	گریه کنان	liú lèi de
揶揄	شوخی کردن؛ سخنان نیشدارگفتن	yé yú
技术上的	فنی؛ تکنیکی	jì shù shǎng de
技术的	فناورانه	jì shù de
工艺的	فناورانه	gōng yì de
术语	تکنولوژی	shù yǔ
冗长乏味的	ممل؛ کسل کننده	rǒng cháng fá wèi de
十三岁到十九岁的少年	نوجوان	shí sān suì dào shí jiǔ suì de shào nián
十三岁到十九岁	نوجوانی	shí sān suì dào shí jiǔ suì
电报	تلگراف؛ تلگرام	diàn bào
电汇	تلگراف؛ تلگراف کردن	diàn huì
望远镜	تلکسوپ؛ تلسکپ	wàng yuǎn jìng
叠缩	تلکسوپ؛ تلسکپ	dié suō
电视	تلویزیون	diàn shì
告诉	گفتن	gào sù
蛮勇	تهور	mán yǒng
硬度	خلق؛ درست ساختن	yìng dù
脾气	خلق؛ درست ساختن	pí qi
性格	فطرت	xìng gé
气质的	مزاجی	qì zhì de
性格的	مزاجی	xìng gé de
节欲	اعتدال	jiē yù
戒酒	اعتدال	jiè jiǔ
温度	حرارت؛ دما	wēn dù
有暴风雨的	پرتوپ وتشر	yǒu bào fēng yǔ de
圣堂	معبد	shèng táng
庙宇	معبد	miào yǔ
时间的	شقی؛ فانی	shí jiān de
暂时	موقتاً	zàn shí
一时	موقتاً	yī shí
随潮流	دست بدست کردآن	suí cháo liú
诱惑人的	وسوسه آمیز؛ هوس انگیز	yòu huò rén de
十	ده	shí
可守的	قابل تصرف؛ قابل مدافعه	kě shǒu de
站得住的	قابل تصرف؛ قابل مدافعه	zhàn dé zhù de
紧握的	استوار؛ چسبنده	jǐn wò de
不屈不挠	سرسختی	bù qū bù náo
房客	مستاجر؛ اجاره دار	fáng kè
嫩的	مناقصه؛ پیشنهاد مناقصه	nèn de
维护保养	مایل	wéi hù bǎo yǎng
腱	تاندون؛ زردپی	jiàn
十倍的	دهگانه؛ ده چندان	shí bèi de
十重的	دهگانه؛ ده چندان	shí chóng de
田纳西州	تنسی	tián nà xī zhōu
网球	تنیس	wǎng qiú
稳定的进程	مفهوم؛ مفاد	wěn dìng de jìn chéng
思路	مفهوم؛ مفاد	sī lù
紧张的	وخیم شدن؛ زمان فعل	jǐn zhāng de
拉紧的	وخیم شدن؛ زمان فعل	lā jǐn de
可拉长的	کش دار	kě lā cháng de
可伸长的	کش دار	kě shēn cháng de
帷幕	چادر؛ خیمه	wéi mù
第十	عشر	dì shí
十分之一	عشر	shí fēn zhī yī
微温的	ولرم؛ نیمگرم	wēi wēn de
温热的	ولرم؛ نیمگرم	wēn rè de
期限	اصطلاح؛ دوره؛ شرط	qī xiàn
终端机	پایانه	zhōng duān jī
有结尾的	فسخکردن؛ سپری کردن	yǒu jié wěi de
结束的	فسخکردن؛ سپری کردن	jié shù de
阶地	تختان؛ تراس	jiē dì
梯田	تختان؛ تراس	tī tián
地区	نوع زمین؛ عوارض زمین	dì qū
可怕地	به طرز وحشتناکی	kě pà de
甚为	به طرز وحشتناکی	shèn wéi
极端的	فوق العاده	jí duān de
领土的	زمینی؛ ارضی	lǐng tǔ de
土地的	زمینی؛ ارضی	tǔ dì de
领地	قلمرو	lǐng dì
恐怖主义	تروریسم	kǒng bù zhǔ yì
恐怖统治	تروریسم	kǒng bù tǒng zhì
恐怖分子	تروریست	kǒng bù fèn zǐ
恐怖份子	تروریست	kǒng bù fèn zi
第三的	قسمت سوم	dì sān de
第三位的	قسمت سوم	dì sān wèi de
测试	آزمون، آزمون گرفتن	cè shì
遗嘱	عهد؛ وصیت	yí zhǔ
圣约书	عهد؛ وصیت	shèng yuē shū
睾丸	تخم؛ بیضه	gāo wán
证言	شهادت	zhèng yán
吃力的	آزمایش	chī lì de
条顿人的	توتنی	tiáo dùn rén de
日耳曼人的	توتنی	rì ěr màn rén de
德克萨斯	تکزاس؛ تگزاس	dé kè sà sī
文本	متن	wén běn
正文	متن	zhèng wén
教科书	کتاب درسی	jiào kē shū
纺织品	بافته؛ بافتنی	fǎng zhī pǐn
纺织业	بافته؛ بافتنی	fǎng zhī yè
谢意	تشکر کردن	xiè yì
感谢	تشکر کردن	gǎn xiè
不感谢的	ناممنون	bù gǎn xiè de
忘恩的	ناممنون	wàng ēn de
那个	که، آن	nà ge
那	که، آن	nā
茅草屋顶	کاه پوش کردن؛ کاه اندود کردن	máo cǎo wū dǐng
用茅草覆盖	کاه پوش کردن؛ کاه اندود کردن	yòng máo cǎo fù gài
融解	آب کردن؛ آب شدن	róng jiě
这个	حرف تعریف معین	zhè ge
该	حرف تعریف معین	gāi
戏院	تئاتر؛ تماشا خانه	xì yuàn
你	تورا	nǐ
盗窃	سرقت	dào qiè
失窃	سرقت	shī qiè
他们的	مال آنها	tā men de
他们	آنها (مفعول)	tā men
她们	آنها (مفعول)	tā men
话题	فرهشت	huà tí
他们自己	خودشان	tā men zì jǐ
她们自己	خودشان	tā men zì jǐ
当时	سپس	dāng shí
神学上的	لدنی	shén xué shǎng de
神学	الاهیات؛ علمالادیان	shén xué
理论的	نظری	lǐ lùn de
理论上的	نظری	lǐ lùn shǎng de
理论家	نگرشگر	lǐ lùn jiā
理论工作者	نگرشگر	lǐ lùn gōng zuò zhě
理论	فرضیه؛ نگره	lǐ lùn
治疗的	معالج	zhì liáo de
有益于健康的	معالج	yǒu yì yú jiàn kāng de
治疗学	درمان شناسی	zhì liáo xué
疗法	درمان شناسی	liáo fǎ
治疗学家	درمانگر	zhì liáo xué jiā
在那里	آنجا	zài nà li
其后	بعدها؛ بدانوسیله	qí hòu
从那时以后	بعدها؛ بدانوسیله	cóng nà shí yǐ hòu
热量的	گرمایی	rè liàng de
温度计	درجه؛ گرمانما	wēn dù jì
体温计	درجه؛ گرمانما	tǐ wēn jì
这些	این‌ها	zhè xiē
论题	پایان‌نامه	lùn tí
论文	پایان‌نامه	lùn wén
厚的	انبوه؛ غلیظ	hòu de
草丛	کنام؛ شاخسار	cǎo cóng
厚地	نسبتا انبوه	hòu de
浓地	نسبتا انبوه	nóng de
小偷	دزد؛ ربا	xiǎo tōu
贼	دزد؛ ربا	zéi
大腿	ران	dà tuǐ
顶针	انگشتانه	dǐng zhēn
嵌环	انگشتانه	kǎn huán
薄的	نازک؛ لاغر	bó de
细的	نازک؛ لاغر	xì de
你的东西	مال تو	nǐ de dōng xī
事物	چیز	shì wù
东西	چیز	dōng xī
想	فکر کردن	xiǎng
思想者	فکور؛ متفکر	sī xiǎng zhě
思想家	فکور؛ متفکر	sī xiǎng jiā
薄	لاغری؛ نازکی	bó
细	لاغری؛ نازکی	xì
第三	سوم	dì sān
三分之一	سوم	sān fēn zhī yī
口渴	عطش؛ تشنگی	kǒu kě
口渴的	تشنه	kǒu kě de
十三	سیزده	shí sān
三十	سی	sān shí
位于那一边的	به آنطرف؛ به آنجا	wèi yú nā yī biān de
向那边的	به آنطرف؛ به آنجا	xiàng nà bian de
胸廓的	صدری	xiōng kuò de
棘	خار؛ سرتیز	jí
十分的	کامل	shí fēn de
彻底的	کامل	chè dǐ de
彻底地	به طور کامل	chè dǐ de
那些	آن‌ها؛ کسانی	nà xiē
可是	اگرچه؛ هرچند	kě shì
深思的	فکور؛ متفکرانه	shēn sī de
沉思地	متفکرانه	chén sī de
体贴地	متفکرانه	tǐ tiē de
欠考虑的	بی فکر؛ بی خیال	qiàn kǎo lǜ de
无深虑的	بی فکر؛ بی خیال	wú shēn lǜ de
千	هزار	qiān
第一千的	یک هزار	dì yī qiān de
千分之一的	یک هزار	qiān fēn zhī yī de
恶兆	تهدید؛ تحدید	ě zhào
胁迫的	تهدید کننده؛ تهدید آمیز	xié pò de
三	سه	sān
三倍的	ثلاثی؛ ثلاث	sān bèi de
三重的	ثلاثی؛ ثلاث	sān chóng de
打谷	خرمن کوبی کردن	dǎ gǔ
摔打	خرمن کوبی کردن	shuāi da
门槛	آستانه؛ درگاه	mén kǎn
以三倍	سه مرتبه؛ سه دفعه	yǐ sān bèi
三次	سه مرتبه؛ سه دفعه	sān cì
兴旺的	مقتصد؛ صرفه جو	xīng wàng de
震颤	هیجان؛ بهیجان آوردن	zhèn chàn
兴旺	پربرکت شدن؛ نشو و نما کردن	xīng wàng
喉咙	گلو؛ حلقوم	hóu lóng
搏动	طپیدن؛ تپش داشتن	bó dòng
王座	مسند؛ اورنگ	wáng zuò
穿越	از طریق	chuān yuè
从头至尾	از طریق	cóng tóu zhì wěi
贯穿全部地	سرتاسر؛ سربسر	guàn chuān quán bù de
投	انداختن؛ افکندن	tóu
掷	انداختن؛ افکندن	zhì
插	فشار؛ تپاندن	chā
砰的一声	هف هف	pēng de yī shēng
拇指	انگشت شست	mǔ zhǐ
笨拙地摆弄	انگشت شست	bèn zhuō de bǎi nòng
雷	رعد؛ تندر	léi
轰隆地响	رعد؛ تندر	hōng lōng de xiǎng
星期四	پنجشنبه	xīng qī sì
横放的	عقیم گذاردن	héng fàng de
你的	مال تو	nǐ de
胫骨	درشت نی	jìng gǔ
胫节	درشت نی	jìng jiē
滴答声	کنه	dī da shēng
一瞬间	کنه	yī shùn jiān
票	بلیط	piào
券	بلیط	quàn
胳肢	غلغلک؛ غلغلک دادن	gé zhi
痒	غلغلک؛ غلغلک دادن	yǎng
潮	خیزآب؛ کشند داشتن	cháo
椅子的背罩	میتیل	yǐ zi de bēi zhào
装杂物的容器	میتیل	zhuāng zá wù de róng qì
老虎	ببر	lǎo hǔ
密封的	تنگ؛ محکم	mì fēng de
勒紧	تنگ کردن؛ سفت کردن	lēi jǐn
使变紧	تنگ کردن؛ سفت کردن	shǐ biàn jǐn
砖瓦	کاشی	zhuān wǎ
瓷砖	کاشی	cí zhuān
直到	تا؛ صندوق پول	zhí dào
在以前	تا؛ صندوق پول	zài yǐ qián
耕种	کشت وزرع	gēng zhòng
耕地	کشت وزرع	gēng dì
耕种者	اهرم سکانکشتی	gēng zhòng zhě
分蘖	اهرم سکانکشتی	fēn niè
木料	صدای خشک؛ صدای زنگ	mù liào
时间	زمان	shí jiān
时侯	زمان	shí hóu
及时的	بجا؛ بوقت	jí shí de
适时的	بجا؛ بوقت	shì shí de
时间选择	زمان‌بندی	shí jiān xuǎn zé
时间测定	زمان‌بندی	shí jiān cè dìng
锡	قلع؛ حلب	xī
马口铁	قلع؛ حلب	mǎ kǒu tiě
酊	تنتور	dīng
火绒盒	فتیله فندک	huǒ róng hé
色调	سایه رنگ؛ کمی رنگ زدن	sè diào
感到刺痛	سوزش کردن	gǎn dào cì tòng
修补匠	بندزدن؛ سرهم بندی	xiū bǔ jiàng
金属丝	پولک؛ نقده	jīn shǔ sī
金属箔	پولک؛ نقده	jīn shǔ bó
浅色	ته رنگ؛ سایه رنگ	qiǎn sè
脚尖	تیپا؛ نوک پنجه	jiǎo jiān
踮着脚	تیپا؛ نوک پنجه	diǎn zhāo jiǎo
轮胎	لاستیک؛ تایر	lún tāi
头饰	لاستیک؛ تایر	tóu shì
疲累的	خسته	pí lèi de
疲乏的	خسته	pí fá de
疲倦	خستگی	pí juàn
不疲倦的	نافرسودنی؛ بی لاستیک	bù pí juàn de
不厌倦的	نافرسودنی؛ بی لاستیک	bù yàn juàn de
累人的	خستهکننده؛ طاقت فرسا	lěi rén de
薄的织物	بافت، دستمال کاغذی	bó de zhī wù
山雀	دختریازن؛ نوک پستان	shān què
