एक	یک (حرف تعریف نامعین)	ek
बसेरा	جایگاه بلند	baseraa
चक्कस	جایگاه بلند	chakkas
बाध्यकारी	حکمی؛ شتاب آمیز	baadhyakaarii
निर्णयात्मक	حکمی؛ شتاب آمیز	nirnayaatmak
निपुणता	کمال؛ بی عیبی	nipunataa
पूर्णतः	بکمال	puurnath
छेदना	سوراخ شده؛ خلل و فرج دار	chhedanaa
छेदों की कतार	مسئله؛ مسام	chhedon kii kataar
खुशबू	عطر؛ نکهت	khushabuu
खुशबूदार	معطر؛ مطیب	khushabuudaar
नियतकालिक	دوری؛ تناوبی	niyatakaalik
नियतकाल में	دوری؛ تناوبی	niyatakaal men
नियतकालिक पत्रिका	مجله؛ نوبتی	niyatakaalik patrikaa
गौण	جنبی؛ پیرامونی	gaun
कृत्रिम लट	پایدار؛ ماندنی	kritrim lat
स्थायी रूप से	به طور دائمی	sthaayii ruup se
अनुज्ञेय	مجاز؛ روا	anugyey
परवाना	پروانه؛ پته	paravaanaa
लम्ब	عمودی؛ ستون وار	lamb
बनाये रखना	جاودانی ساختن	banaaye rakhanaa
स्थायी बनाना	جاودانی ساختن	sthaayii banaanaa
हैरान	حیرت زده	hairaan
लगन	ابرام؛ پشتکار	lagan
ईरानी	فارسی؛ ایرانی	iiraanii
फारसी भाषा	فارسی؛ ایرانی	phaarasii bhaashaa
अडजाना	پیله کردن؛ پافشاری کردن	adajaanaa
डटे रहना	پیله کردن؛ پافشاری کردن	date rahanaa
अवस्थिति	سماجت؛ پافشاری	avasthiti
दृढ	ماندگار؛ سمج	dridh
दुराग्रहपूर्वक	مصرانه؛ مصرا	duraagrahapuurvak
वैयक्तिक	شخصی	vaiyaktik
चरिट्र	شخصیت	charitr
मानवीकरण	همانند دیگری	maanaviikaran
साकार रूप	همانند دیگری	saakaar ruup
साक्षात	مجسم	saakshaat
कार्यकर्ता	پرسنل؛ اعضا اداری	kaaryakartaa
स्वेद	تعریق؛ رشحه	sved
पसीना	تعریق؛ رشحه	pasiinaa
पसीना आना	عرق کردن؛ عرق ریختن	pasiinaa aanaa
पसीना बहाना	عرق کردن؛ عرق ریختن	pasiinaa bahaanaa
पेरू	پرو	peruu
कामविकृति	بدراهی	kaamavikriti
कण्टक	مرگی	kantak
हानिकारक जीव	مرگی	haanikaarak jiiv
पीटर्सबर्ग	پترزبورگ	piitarsabarg
पीटरसन	پیترسون	piitarasan
अर्जी	عرضحال؛ دادخواست	arjii
याचिका	عرضحال؛ دادخواست	yaachikaa
प्रार्थी	متظلم؛ دادخواه	praarthii
अर्ज़ीदार	متظلم؛ دادخواه	arziidaar
पथराना	متحجر	patharaanaa
अश्मीकृत होना	متحجر	ashmiikrit honaa
पेट्रोल	بنزین	petrol
भू तेल	بنزین	bhuu tel
भूतेल	نفت؛ نفت خام	bhuutel
पेट्रोलियम	نفت؛ نفت خام	petroliyam
संकीर्णता	دونی	sankiirnataa
ओछापन	دونی	ochhaapan
बदमिजाज़ी	کج خلقی؛ زود رنجی	badamijaazii
चिडचिडापन	کج خلقی؛ زود رنجی	chidachidaapan
मोहछाया	ظاهر فریبنده	mohachhaayaa
ग्रसनी	حلقوم؛ گلوگاه	grasanii
तीतर	تذرو	tiitar
चिडा	تذرو	chidaa
तथ्य	پدیده؛ حادثه	tathy
अजिबोगरीब	پدیده؛ حادثه	ajibogariib
फ़िलाडेल्फ़िया	فیلادلفیا	filaadelfiyaa
लोकोपकारी	بشردوست؛ نوعدوست	lokopakaarii
लोकोपकारक	بشردوست؛ نوعدوست	lokopakaarak
लोकोपकार	بشردوستی؛ نوعپرستی	lokopakaar
मानवप्रेम	بشردوستی؛ نوعپرستی	maanavaprem
फ़िलिपींस	فیلیپین	filipiins
दार्शनिक	فیلسوف	daarshanik
तत्ववेत्ता	فیلسوف	tatvavettaa
शांतचित्त	فلسفی	shaantachitt
अमरपक्षी	سمندر؛ سیمرغ	amarapakshii
फ़ीनिक्स	سمندر؛ سیمرغ	fiiniks
फोन	تلفن، تماس گرفتن	phon
टेलीफ़ोन	تلفن، تماس گرفتن	teliifon
भास्वर	فسفر	bhaasvar
फासफ़ोरस	فسفر	phaasaforas
फोटो	عکس	photo / tasviir / chitr
तस्वीर/चित्र	عکس	photo / tasviir / chitr
छायाचित्र	عکس؛ عکس گرفتن	chhaayaachitr
छायाकार	عکاس؛ عکس بردار	chhaayaakaar
फोटोग्राफर	عکاس؛ عکس بردار	photograaphar
छायाचित्रित	عکسی	chhaayaachitrit
छायाचित्रण संबंधी	عکسی	chhaayaachitran sanbandhii
चायाचिट्रण	عکاسی؛ عکس برداری	chaayaachitran
छायाचित्रण	عکاسی؛ عکس برداری	chhaayaachitran
सशरीरी	جسماً	sashariirii
शारीरिक.	جسماً	shaariirik.
डाक्टरअ	پزشک؛ طبیب	daaktara
चिकित्सकअ	پزشک؛ طبیب	chikitsaka
भौतिक विज्ञान	فیزیک	bhautik vigyaan
शरीरविज्ञान संबंधी	تنکردی	shariiravigyaan sanbandhii
शरीरविज्ञान	علمالابدان؛ علم طبیعی	shariiravigyaan
जीवन पद्वति	علمالابدان؛ علم طبیعی	jiivan padvati
धीमा	پیانو	dhiimaa
पियानो	پیانو	piyaano
वनभोज	پیکنیک؛ اجتماعی درخارج	vanabhoj
पिकनिक	پیکنیک؛ اجتماعی درخارج	pikanik
सुरम्य	خوش منظره	suramy
खिचड़ी	درهم ریختن؛ کلاغ زنگی	khicharii
कचौडी	درهم ریختن؛ کلاغ زنگی	kachaudii
चितकबरा	ابلق؛ پیسه	chitakabaraa
भेदना	سپوختن؛ سفتن	bhedanaa
चुभाना	سپوختن؛ سفتن	chubhaanaa
धर्मपरायणता	تدین؛ دیانت	dharmaparaayanataa
इश्वर भक्ति	تدین؛ دیانت	ishvar bhakti
कबूतर	کبوتر	kabuutar
द्रुतमार्ग	نوک نیزه؛ اردک ماهی	drutamaarg
तीर्थयात्री	حاجی؛ زوار	tiirthayaatrii
तीर्थस्थान	زیارت؛ زیارت رفتن	tiirthasthaan
तीर्थयात्रा	زیارت؛ زیارت رفتن	tiirthayaatraa
लूटना	غارت؛ تاراج	luutanaa
लूट लेना	غارت؛ تاراج	luut lenaa
लूट मार	یغماگری	luut maar
स्तंभ	پایه؛ ستون	stanbh
तकिया	پشتی؛ بالش	takiyaa
चिकोटी	مضیقه؛ وشگون	chikotii
चुटकी भर	مضیقه؛ وشگون	chutakii bhar
पाइन की लकड़ी	کاج؛ صنوبر	paain kii lakarii
अनन्नास	آناناس	anannaas
गुलाबी	صورتی	gulaabii
अग्रगामी/पथप्रदर्शक	پیشگام؛ پیشرو	netaa / agragaamii / pathapradarshak
धर्मनिष्ठ	خیر؛ پارسا	dharmanishth
लय	لوله؛ چپق	lay
पाइप	مغزی؛ نیزنی	paaip
चोर लेखक	دزد ادبی؛ دزد دریایی	chor lekhak
समुद्री डाकू	دزد ادبی؛ دزد دریایی	samudrii daakuu
पिस्तौल	پارابلوم؛ هفت تیر	pistaul / pistaul / tamanchaa
पिस्तौल/तमंचा	پارابلوم؛ هفت تیر	pistaul / pistaul / tamanchaa
पिस्टन	پیستون؛ میله متحرک	pistan
मुषली	پیستون؛ میله متحرک	mushalii
गढ्ढाआ	تخم؛ هسته	gadhdhaa
घट	تنگ؛ سبو	ghat
जग	تنگ؛ سبو	jag
जेली	دوشاخه؛ سه شاخه	jelii / jelii / jandaraa
जेली/जंदरा	دوشاخه؛ سه شاخه	jelii / jelii / jandaraa
सारगर्भित	پرمغز؛ شبیه مغز	saaragarbhit
पिट्सबर्ग	پیتسبورگ	pitsabarg
गमछा	پارچه پیچازی	gamachhaa
पट्टू	پارچه پیچازی	pattuu
अभियोक्ता	شاکی؛ دادخواه	abhiyoktaa
मुद्दई	شاکی؛ دادخواه	muddii
मंसूबा	برنامه، برنامه ریزی کردن	mansuubaa
ग्रह	سیاره	grah
तख्ता	تخته؛ تخته پوش کردن	takhtaa
मुद्दा	تخته؛ تخته پوش کردن	muddaa
पटरे	تخته بندی	patare
योजनाकार	طراح	yojanaakaar
आयोजन	زمینهسازی؛ برنامه ریزی	aayojan
योजना	زمینهسازی؛ برنامه ریزی	yojanaa
ठगी	کاشتن؛ گیاه	thagii
जाल	کاشتن؛ گیاه	jaal
भूभाग	سبزیکاری؛ درختستان	bhuubhaag
गमला	صاحب مزرعه؛ پرورنده گیاهان	gamalaa
बोने वाला	صاحب مزرعه؛ پرورنده گیاهان	bone vaalaa
प्लाविक	پلاسما	plaavik
प्लाज़्मा	پلاسما	plaazmaa
पलस्तर	گچ؛ مشمع	palastar
प्लास्टर	گچ؛ مشمع	plaastar
पठार	فلات؛ زمین مسطح	pathaar
स्थिरांक	فلات؛ زمین مسطح	sthiraank
चद्दर	آبکاری فلزی	chaddar
निष्काम	افلاطونی	nishkaam
अफ़लातूनी	افلاطونی	afalaatuunii
पल्टन	رسد	paltan
अभिनेता	بازیکن	abhinetaa
आनन्दित	بازیگوش	aanandit
बालमिट्र	همبازی	baalamitr
वकालत करना	عرضحال دادن	vakaalat karanaa
अनुनय करना	عرضحال دادن	anunay karanaa
प्रेय	خوشایند؛ دلگشا	prey
परिपूर्ण	غیر مقید	paripuurn
बहुतेरा	وافر	bahuteraa
अनेक	کثیر؛ بمقدار فراوان	anek
पाशर्वशूल	ذاتالجنب؛ برسام	paasharvashuul
फुप्फुसावरण शोध	ذاتالجنب؛ برسام	phupphusaavaran shodh
दब्बू	قابل انعطاف؛ نرم شدنی	dabbuu
खेत जोतना	شخم؛ شیار کردن	khet jotanaa
टिटिहरी	مرغ باران	titiharii
बटान	مرغ باران	bataan
प्रचार	دوشاخه	prachaar
एकदम	گوجه؛ آلو	ekadam
पक्षति	بال و پر	pakshati
नलसाज़	لولهکش؛ لوله ساز	nalasaaz
फुलाना	گوشتالو؛ سمین	phulaanaa
लूटमार	غارت؛ تاراج	luutamaar
झपट	افت؛ شیرجه	jhapat
बहुवचन	جمعی؛ صیغه جمع	bahuvachan
आना जाना	لا؛ وآمد کردن	aanaa jaanaa
मोटाई{कपडे या लकडी की}	لا؛ وآمد کردن	motaaii{kapade yaa lakadii kii}
निमोनिया	ذات الریه	nimoniyaa
न्यूमोनिया	ذات الریه	nyuumoniyaa
मनीबैग	کتاب جیبی؛ جزوه دان	maniibaig
चेचकी	مجدر؛ آبله دار	chechakii
कृति	شعر؛ چامه	kriti
कवि	شاعر؛ غزل سرا	kavi
शायर	شاعر؛ غزل سرا	shaayar
काव्यमय	نظمی؛ شاعرانه	kaavyamay
कविसुलभ	نظمی؛ شاعرانه	kavisulabh
शायरी	شعر؛ اشعار	shaayarii
मार्मिक	نیشدار؛ گوشه دار	maarmik
जहर	سم؛ زهر	jahar
विषाक्तता	مسمومیت	vishaaktataa
विषाक्तीकरण	مسمومیت	vishaaktiikaran
विषैला	زهری؛ زهردار	vishailaa
कुरेदनी	سیخ زن؛ سیخ بخاری	kuredanii
पोकर	سیخ زن؛ سیخ بخاری	pokar
मुक्का	سقلمه	mukkaa
पोलैंड	لهستان	polaind
विवादात्मक	جدلی کردن؛ اهل جدل	vivaadaatmak
आरक्षक	پلیس	aarakshak
सिपाही	پلیس (مرد)	sipaahii
नय	سیاست؛ خط‌مشی	nay
चमकाना	مالیدن؛ له	chamakaanaa
बाशऊर	مودبانه	baashauur
सभ्यतः	مودبانه	sabhyath
अशोच	ادب؛ تربیت	ashoch
राजनैतिक	سیاسی	raajanaitik
राजनीतिक	سیاسی	raajaniitik
राजनेता	سیاستمدار؛ ساوس	raajanetaa
नीतिज्ञ	سیاستمدار؛ ساوس	niitigy
मतदान	نمونه برداشتن؛ نظر خواهی کردن	matadaan
पराग	گرد؛ دانه گرده	paraag
प्रदूषण	آلودگی	praduushan
बहुविवाह	چندگانی؛ بس گانی	bahuvivaah
बहुपत्नीकत्व	چندگانی؛ بس گانی	bahupatniikatv
बहुलक	بسپار	bahulak
धूमधाम	فر؛ غرور وتظاهر	dhuumadhaam / shaan / dhuumadhaam
शान/धूमधाम	فر؛ غرور وتظاهر	dhuumadhaam / shaan / dhuumadhaam
आडंबर	طمطراق؛ آب وتاب	aadanbar
सर	دریاچه؛ غدیر	sar
सोचना/मनन करना/चिन्तन करना	تامل کردن؛ تعمق کردن	vichaar karanaa / sochanaa / manan karanaa / chintan karanaa
याबू	تاتو	yaabuu
खेल	استخر	khel
असहाय	فقیر	asahaay
पोप	پاپ	pop
परमधर्माध्यक्ष	پاپ	paramadharmaadhyaksh
पोस्ता	خشخاش	postaa / postaa / post
पोस्ता/पोस्त	خشخاش	postaa / postaa / post
लोकप्रियता	وجهه؛ محبوبیت	lokapriyataa
सर्वमान्यता	وجهه؛ محبوبیت	sarvamaanyataa
प्रचालन	محبوب سازی	prachaalan
सार्वजनिकीकरण	محبوب سازی	saarvajanikiikaran
जनाकीर्ण	پرجمعیت؛ پرسکنه	janaakiirn / ghanii aabaadiivaalaa / janaakiirn
घनी आबादीवाला/जनाकीर्ण	پرجمعیت؛ پرسکنه	janaakiirn / ghanii aabaadiivaalaa / janaakiirn
रंध्र	منافد	randhr
सुअर का गोश्त	گوشتخوک	suar kaa gosht
सुअर का मांस	گوشتخوک	suar kaa maans
छिद्रित	متخلخل؛ رخنه دار	chhidrit / chhiidril / chhote chhedon vaalaa
छीद्रिल/छोटे छेदों वाला	متخلخل؛ رخنه دار	chhidrit / chhiidril / chhote chhedon vaalaa
फाटक	پرت؛ حمایل زدن	phaatak
सुवाह्य	موبایل؛ قابل انتقال	suvaahy
वाह्य	موبایل؛ قابل انتقال	vaahy
पोर्टल	سر در	portal / praveshadvaar / sinhadvaar
प्रवेशद्वार/सिंहद्वार	سر در	portal / praveshadvaar / sinhadvaar
अपशकुन	فال بد	apashakun
द्वारपाल	باربر؛ حمال	dvaarapaal
कूली	باربر؛ حمال	kuulii
वर्णन	نقاشی؛ تصویر	varnan
पुर्तगाल	پرتقال؛ پرتغال	purtagaal
पुर्तगाली	زبان پرتقالی	purtagaalii
पुर्तगाली भाषा	زبان پرتقالی	purtagaalii bhaashaa
दावा करना	ژست؛ ژست گرفتن	daavaa karanaa
सुनिश्चित	مثبت	sunishchit
निश्चित रूप से	خوشبینانه؛ مثبتاً	nishchit ruup se
पास होना	دارا شدن؛ واجد بودن	paas honaa
स्वामी	مالک؛ دارا	svaamii
शक्यता	امکان	shakyataa
सम्भवता	امکان	sambhavataa
संभव	ممکن	sanbhav
डाक टिकट	پول پست؛ ارسال پست	daak tikat
डाक व्यय	پول پست؛ ارسال پست	daak vyay
डाकीय	پستی	daakiiy
डाक द्वारा	پستی	daak dvaaraa
इश्तिहार	پوستر	ishtihaar
उत्तरकालीन	پسین؛ دیرتر	uttarakaaliin
उत्तरकालीनता	اعقاب؛ اخلاف	uttarakaaliinataa
भावी पीढ़ी	اعقاب؛ اخلاف	bhaavii piirhii
स्थगित करना	معوق کردن؛ موکول کردن	sthagit karanaa
आगे बढाना	معوق کردن؛ موکول کردن	aage badhaanaa
स्थागन	تاخیر؛ تعویق	sthaagan
पट	دیگ؛ تیان	pat
पोटैश	پتاس؛ پتاس محرق	potaish
दहातु	پتاسیم	dahaatu
पोटैशियम	پتاسیم	potaishiyam
आलू	سیب‌زمینی	aaluu
आलु	سیب‌زمینی	aalu
सामर्थ्य	التزامی؛ پتانسیل	saamarthy
सशक्त रूप से	به طور بالقوه	sashakt ruup se
बरतन	کوزهگری؛ سفالگری	baratan
कुम्हारी	کوزهگری؛ سفالگری	kumhaarii
पुलटिस	ضماد	pulatis / lep / pulatis
लेप/पुलटिस	ضماد	pulatis / lep / pulatis
कुक्कुटादि	مرغ خانگی	kukkutaadi
घरेलू पक्षी	مرغ خانگی	ghareluu pakshii
झपटना/पंजा मारना	درحال خیز	jhapatanaa / jhapatanaa / panjaa maaranaa
पाउंड	پوند	paaund
चूरा	گرد؛ پودر	chuuraa
पाउडर के समान	گردی؛ آردی	paaudar ke samaan
पाउडर से पुता हुआ	گردی؛ آردی	paaudar se putaa huaa
प्रभावशाली ढंग से	مقتدرانه	prabhaavashaalii dhang se
शक्तिशाली ढंग से	مقتدرانه	shaktishaalii dhang se
विवशता	بی قوتی	vivashataa
लाचारी	بی قوتی	laachaarii
उपयोगी	پرشدنی؛ قابل اجرا	upayogii
कार्यप्रणाली	تمرین کردن	kaaryapranaalii
अभ्यास करना	تمرین کردن	abhyaas karanaa
प्रेयरी	چمنزار؛ جلگه	preyarii
गुणगान	تمجید؛ درود	gunagaan
श्लाघा	تمجید؛ درود	shlaaghaa
सराहनीय	هژیر؛ ستودنی	saraahaniiy
सँवरना	شوخی زننده؛ شوخی خرکی	sanvaranaa
गप्प लगाना	حرف مفت زدن	gapp lagaanaa
बकबक करना	حرف مفت زدن	bakabak karanaa
प्रार्थना	ذکر؛ نماز کردن	praarthanaa
पूजा	نماز؛ دعا	puujaa
मांग	نماز؛ دعا	maang
उपदेश देना	موعظه کردن؛ وعظ کردن	upadesh denaa
धर्मोपदेशक	فقیه؛ روضه خوان	dharmopadeshak
आमुख	مقدمه؛ توضیحات	aamukh
पूर्वोपाय	اقدام احتیاطی	puurvopaay
एहतियाती	احتیاطی؛ پیشگیرانه	ehatiyaatii
आगे करना	مقدم بودن	aage karanaa
पहले आना	مقدم بودن	pahale aanaa
खड़ी चट्टान	پرتگاه؛ سراشیبی تند	kharii chattaan
वेग से गिरना	بادست پاچگی؛ ناگهان سقوط کردن	veg se giranaa
स्वभाववश	دقیقاً	svabhaavavash
ठिक ठिक	دقیقاً	thik thik
यथार्थता	احتیاط کار	yathaarthataa
यथार्थमापी	احتیاط کار	yathaarthamaapii
प्रारब्ध	جبر؛ فلسفه جبری	praarabdh
पूर्वनिश्चित	جبری	puurvanishchit
दशा	وضع خطرناک؛ وضع نامساعد	dashaa
हालत	وضع خطرناک؛ وضع نامساعد	haalat
पूर्वानुमान करना	پیش‌بینی کردن	puurvaanumaan karanaa
पूर्वानुमेय	قابل پیش‌بینی	puurvaanumey
पूर्वानुमेय होने के कारण नीरस	قابل پیش‌بینی	puurvaanumey hone ke kaaran niiras
भविष्य कथन	پیشبینی؛ غیبگویی	bhavishy kathan
प्राक्कथन	مقدمه؛ دیباجه	praakkathan
पसन्द करना	ترجیح دادن	pasand karanaa
श्रेयस्कर	افضل؛ مرجح	shreyaskar
पसंद	ترجیح	pasand
प्राथमिकता	ترجیح	praathamikataa
उपपद	پیشوند	upapad
उपसर्ग	پیشوند	upasarg
गर्भावस्था	باروری؛ حاملگی	garbhaavasthaa
प्रागैतिहासिक	ماقبل تاریخ؛ ماقبل تاریخی	praagaitihaasik
बाबा आदम के ज़माने का	ماقبل تاریخ؛ ماقبل تاریخی	baabaa aadam ke zamaane kaa
पूर्वाग्रह	تعصب؛ غرض ورزی	puurvaagrah
पूर्वागह	تعصب؛ غرض ورزی	puurvaagah
प्रारंभिक दौर	مقدماتی؛ بدائی	praaranbhik daur
पूर्वरंग	قسمت مقدماتی	puurvarang
असमय	زودهنگام	asamay
प्रतिज्ञा	فرض قبلی؛ فرضیه مقدم	pratigyaa
आधार वाक्य	فرض قبلی؛ فرضیه مقدم	aadhaar vaaky
पूर्वाभास	فکر قبلی	puurvaabhaas
तल्लीन	گرفتار	talliin
ध्यानमग्न	گرفتار	dhyaanamagn
व्यंजन	تهیه؛ تمهید	vyanjan
प्रधानता	سنگین تری	pradhaanataa
गिलाफ़	غلفه	gilaaf
शिश्न के अग्रभाग को ढकने वाली त्वचा	غلفه	shishn ke agrabhaag ko dhakane vaalii tvachaa
विशेषाधिकार	امتیاز مخصوص	visheshaadhikaar
परमाधिकार	امتیاز مخصوص	paramaadhikaar
पूर्वसूचना	فال نما	puurvasuuchanaa / puurvasuuchanaa denaa / puurvabodh honaa
पूर्वसूचना देना/पूर्वबोध होना	فال نما	puurvasuuchanaa / puurvasuuchanaa denaa / puurvabodh honaa
नुस्खा लिखना	تجویز کردن؛ نسخه دادن	nuskhaa likhanaa
नुस्खा	نسخه؛ تجویز	nuskhaa / aadesh / nirdhaaran
आदेश/निर्धारण	نسخه؛ تجویز	nuskhaa / aadesh / nirdhaaran
वर्तमान	ارائه دادن؛ حاضر، هدیه	vartamaan
अभी	فعلا؛ الساعه	abhii
संप्रति	فعلا؛ الساعه	sanprati
परिरक्षण	حفظ؛ حراست	parirakshan
परिरक्षक	حافظ؛ حافظه	parirakshak
अध्यक्षीय	ریاست جمهوری	adhyakshiiy
राष्ट्रपति पद का	ریاست جمهوری	raashtrapati pad kaa
ख्याति	حیثیت؛ قدر ومنزلت	khyaati
चुनौती देना	استنباط کردن؛ مسلم دانستن	chunautii denaa
अनुमानित	فرضی	anumaanit
मिथ्याभिमान	وانمود؛ تظاهر	mithyaabhimaan
जीत लेना	چربیدن؛ غلبه کردن	jiit lenaa
प्रचलित होना	چربیدن؛ غلبه کردن	prachalit honaa
व्याप्त	رایج؛ شایع	vyaapt
रोकथाम	منع؛ جلوگیری	rokathaam
रोगनिरोधी	پیشگیر؛ پیشگیرنده	roganirodhii
शिकार करन	شکار؛ طعمه	shikaar karan
छेद	خار؛ خلیدن	chhed
गौरव	غرور	gaurav
पुरोहिताई	کشیش بودن؛ مقام کشیش	purohitaaii
अतिनिष्ठावान	یاسم؛ نوار ابیض	atinishthaavaan
मुख्यतः	در وهله اول	mukhyath
मुख्य रुप से	در وهله اول	mukhy rup se
प्राथमिक	اصلی؛ اولیه	praathamik
आदिम	اصل نخستین؛ عنصر نخستین	aadim
युवराज	شاهزاده؛ امیر	yuvaraaj
राजपत्नी	شاهزاده‌خانم؛ شاهدخت	raajapatnii
राजकुमारी	شاهزاده‌خانم؛ شاهدخت	raajakumaarii
मुद्रक	پرینتر	mudrak
मुद्रकअ	پرینتر	mudraka
छपाई	طبع؛ مطبعه	chhapaaii
संसकरण	طبع؛ مطبعه	sansakaran
पूर्वाधिकार	اولویت؛ تقدم	puurvaadhikaar
बन्दी	بندی؛ زندانی	bandii
गोपनीयता	پوشیدگی	gopaniiyataa
एकान्तता	پوشیدگی	ekaantataa
सौभाग्य	امتیاز؛ مصونیت	saubhaagy
विशेषाधिकृत	ممتاز؛ مصون	visheshaadhikrit
गौरवान्वित	ممتاز؛ مصون	gauravaanvit
पेशेवर	جنبه مثبت	peshevar
के पक्ष में	جنبه مثبت	ke paksh men
संभाव्यता	احتمال	sanbhaavyataa
संभवित	محتمل	sanbhavit
परख	کار آموزی	parakh
परिवीक्षा	کار آموزی	pariviikshaa
सन्देहास्पद	گیج کننده	sandehaaspad
संसाधन	پردازش؛ عمل آوری	sansaadhan
प्रसंस्करण	پردازش؛ عمل آوری	prasanskaran
संसाधक	پرداز؛ پردازنده	sansaadhak
प्रोसेसर	پرداز؛ پردازنده	prosesar
ऐलान	جار؛ صلا	ailaan
टालने वाल्	طفرهرو	taalane vaal
अपव्ययी	پر تجمل	apavyayii
जनना	تولید کردن	jananaa
उत्पादकता	کارایی؛ فرآورش	utpaadakataa
व्यावसायिक	حرفه‌ای	vyaavasaayik
प्रोफ़ेसर	استاد	profesar
प्राध्यापक	استاد	praadhyaapak
लाभकारिता	سودبخشی؛ سودمندی	laabhakaaritaa
फायदेमंद	سودمند؛ نافع	phaayademand
मुनाफ़ाखोर	استفادهچی	munaafaakhor
मुनाफ़ाखोरी करना	استفادهچی	munaafaakhorii karanaa
चरित्रहीन	فاسد الاخلاق	charitrahiin
अथाह	عمیق؛ عمیقانه	athaah
बहुल	لبریز؛ سرشار	bahul
आधिक्य	سرشاری	aadhiky
प्राचुर्य	سرشاری	praachury
प्रजा	اخلاف	prajaa
डॉक्टरी अनुभब के आधार पर रोग का पूर्वानुमान	مال اندیشی	doktarii anubhab ke aadhaar par rog kaa puurvaanumaan
प्रोग्राम	برنامه	prograam
प्रोग्रामिंग	برنامه‌نویسی	prograaming
घटनाक्रम नियोजन	برنامه‌نویسی	ghatanaakram niyojan
कड़ी	تصاعد	karii
प्रगतिशील	مترقی	pragatishiil
अग्रसर	مترقی	agrasar
निषेधाज्ञा	منع؛ نهی	nishedhaagyaa
निषेधात्मक	تحریمی؛ جلوگیری کننده	nishedhaatmak
निषेधक	تحریمی؛ جلوگیری کننده	nishedhak
प्रकल्प	پروژه	prakalp
श्रामिक	رنجور؛ وابسته بکارگر	shraamik
श्रमजीवी	رنجور؛ وابسته بکارگر	shramajiivii
प्रचुर मात्रा में उत्पन्न होना या करना	کثیر شدن؛ پربرکت شدن	prachur maatraa men utpann honaa yaa karanaa
प्रसरण	تکثیر	prasaran
बहुजनन	تکثیر	bahujanan
बहुप्रजनक	ولود؛ پرزاآ	bahuprajanak
बहुसर्जनात्मक	ولود؛ پرزاآ	bahusarjanaatmak
बढा देना	کشاندن؛ کشانیدن	badhaa denaa
लम्बा या दीर्घ करना	کشاندن؛ کشانیدن	lambaa yaa diirgh karanaa
विहारस्थल	گردش رفتن	vihaarasthal
प्रमनेड	گردش رفتن	pramaned
प्रमुखता	برجستگی؛ پیشامدگی	pramukhataa
आशाजनक	امیدوارکننده	aashaajanak
सहायता करना	درجه دادن؛ تمشیت کردن	sahaayataa karanaa
समृद्धि	ترفیع	samriddhi
जताना	فوری، تحریک کردن	jataanaa
प्रवृत्त	درازکش	pravritt
औंधा	درازکش	aundhaa
पढना	تلفظ کردن	padhanaa
उच्चारण विधि	تلفظ؛ ادای سخن	uchchaaran vidhi
सिद्ध	علامت؛ اثبات	siddh
प्रूफ़ शोधन करना	غلط گیری کردن	pruuf shodhan karanaa
टिकाना	شمشعک	tikaanaa
अधिप्रचार	تبلیغ؛ پروپاگاند	adhiprachaar
भविष्यवाणी करने की शक्ति	نبوت؛ رسالت	bhavishyavaanii karane kii shakti
भविष्यवक्ता	نبی؛ رسول	bhavishyavaktaa
भविष्यद्वक्ता	نبی؛ رسول	bhavishyadvaktaa
भविष्यसूचक	پیغمبری؛ نبوی	bhavishyasuuchak
पैगंबरी	پیغمبری؛ نبوی	paiganbarii
आनुपातिक	نسبی؛ به نسبت	aanupaatik
अनुपाती	نسبی؛ به نسبت	anupaatii
अनुपात में	به تناسب	anupaat men
प्रस्तावित	پیشنهادی	prastaavit
सुझाव देना	خواستگاری	sujhaav denaa
अकल्पनाशील	نثری؛ کسل کننده	akalpanaashiil
नसर	منثور؛ نثر	nasar
गद्य	منثور؛ نثر	gady
प्रत्याशित	موثر درآینده	pratyaashit
दौलत	عمران؛ رونق	daulat
सम्पन्न	خوشبخت؛ سعید	sampann
प्रस्टेट ग्रंथि	پروستات	prastet granthi
प्राँस्टैट ग्रंथि	پروستات	praanstait granthi
कमजोरी	سجود؛ سجده	kamajorii
डंडवत	سجود؛ سجده	dandavat
रक्षा करना	محافظت کردن	rakshaa karanaa
संरक्षित राज्य	کشور تحت الحمایه	sanrakshit raajy
रक्षित राज्य	کشور تحت الحمایه	rakshit raajy
प्रोटीन	پروتئین	protiin
प्रोटिन	پروتئین	protin
प्रोटेस्टैंट	پروتستان	protestaint
प्रोटेस्टैन्ट	پروتستان	protestaint
विरोधकर्ता	معترض	virodhakartaa
विज्ञप्ति	پروتکل؛ پیوند نامه	vigyapti
नयाचार	پروتکل؛ پیوند نامه	nayaachaar
निकला हुआ होना	جلو آمدهبودن	nikalaa huaa honaa
बाहर निकला हुआ होना	جلو آمدهبودن	baahar nikalaa huaa honaa
सगर्व	مفتخرا؛ دامن کشان	sagarv
साभिमान	مفتخرا؛ دامن کشان	saabhimaan
परखना	ثابت کردن؛ مسلم کردن	parakhanaa
कहावत	ضرب المثل؛ گفتار حکیمانه	kahaavat
मुहावरा	ضرب المثل؛ گفتار حکیمانه	muhaavaraa
विधाता	عاقبتاندیشی؛ آینده نگری	vidhaataa
परमात्मा	عاقبتاندیشی؛ آینده نگری	paramaatmaa
प्रबन्धक	رزاق؛ تامین کننده	prabandhak
