pucker	درهم کشیدن؛ جمع شدگی	paker
pudding	فرنی	puding
puff	پک؛ باد کردن	paf
puffy	باد دار؛ باد کرده	pafi
pull	کشیدن	pul
pulmonary	ریوی	pulmaneri
pulp	مغز؛ مغز ساقه	palp
pulpit	منبر؛ سکوب خطابه	pulpit
pulse	نبض؛ فشار نبض	pals
pump	تلمبه؛ پمپ	pamp
punch	منگنه؛ مشت زدن	panch
punctate	مثل نقطه	pankteyt
punctilious	نکته بین؛ نکته سنج	pangktilias
puncture	پارگی؛ سوراخ کردن	pangkcher / pangksher
punctured	پنچر	pangkcherd / pangksherd
pungent	گوشه دار؛ پر ادویه	panjant
punish	سیاست کردن؛ عذاب کردن	panish
punishment	عذاب؛ کتک	panishmant
punitive	کیفری؛ مجازاتی	pyunativ
punk	پانک	pangk
punt	لگدزدن	pant
puny	ریغماسی؛ درجه پست	pyuni
pupil	مردمک؛ حدقه	pyupel
puppet	عروسک؛ لعبت	papat / papit
puppy	توله؛ سگ بچه	papi
purchase	خرید؛ شراء	perchas
purchaser	خریدار	perchaser
pure	صاف؛ محض	pyur
purely	صرفاً	pyurli
purge	پاک سازی	perj
purification	تصفیه؛ تطهیر	pyurafakeyshen
purify	تصفیه کردن؛ خالص کردن	pyurafai
puritan	پاک دین	pyuratan
purity	صافی؛ صفا	pyuriti
purple	بنفش	perpel
purport	مفهوم؛ مفاد	perport
purpose	هدف	perpas
purposely	عمدا؛ مخصوصا	perpasli
purse	کیف؛ غنچه کردن	pers
pursue	عقب کردن؛ تعقیب کردن	persu
pursuit	پیگیری	persut
purulent	چرکدار	pyurulant
purveyor	سورساتچی	perveyer
pus	چرک	pas
push	هل دادن	push
put	قرار دادن	put
putty	بتونه؛ زاماسکه	pati
puzzle	پازل، معما	pazel
pyramid	هرم	piramid
qualification	شرایط لازم	kwaalafakeyshen
qualify	واجد شرایط شدن	kwaalafai
quality	کیفیت	kwaaliti
quantitative	کمی	kwaantiteytiv
quantity	کمیت	kwaantiti
quarrel	ستیزه؛ جدال	kworel
quarry	شکار؛ معدن سنگ	kwori
quart	کوارت	kwort
quarter	یک چهارم	kworter
queen	ملکه	kwin
queer	غریب؛ غیر عادی	kwir
quell	فرو نشاندن	kwel
quench	فرو نشاندن	kwench
querulous	شکوه گر؛ زود رنج	kweralas
quest	طلب؛ جویش	kwest
question	سوال؛ پرسیدن	kweschan / kweshen
questionnaire	پرسشنامه	kweschaner
queue	صف بستن	kyu
quick	سریع	kwik
quickly	به سرعت	kwikli
quickness	تندی؛ فرزی	kwiknas
quid	یک لیره	kwid
quiet	آرام	kwaiat
quietly	با آرامش	kwaiatli
quilt	دواج	kwilt
quincy	زهرباد	kwinsi
quinine	گنه گنه	kwainain
quit	متارکه؛ ول کردن	kwit
quite	کاملاً	kwait
quiver	ترکش؛ تیر دان	kwiver
quixotic	خیالپرست	kwiksaatik
quota	سهمیه؛ بنیچه	kwota
quotation	نقل؛ مظنه	kwoteyshen
quote	نقل کردن	kwot
rabbi	خاخام؛ عالم یهودی	rabai
rabbit	خرگوش	rabat / rabit
rabid	هار	rabid / reybid
rabies	هاری؛ بیماری هاری	reybiz
race	مسابقه، مسابقه دادن	reys
racial	نژادی	reyshel
racism	نژادپرستی	reysizam
racist	نژادپرست	reysist
rack	طاقچه	rak
raconteur	داستانسرا	rakaantur
radial	شعاعی؛ زندی	reydiel
radiance	درخشندگی؛ درخشش	reydians / reydyans
radiant	ساطع؛ تابان	reydiant / reydyant
radiate	تابیدن؛ درخشیدن	reydiat / reydieyt
radiation	تابش	reydieyshen
radical	ریشهای؛ رادیکال	radakel / radikel
radio	رادیو	reydio
radium	رادیوم؛ شب چراغ	reydiam
radius	شعاع؛ زند اعلی	reydias
rag	کهنه؛ جل	rag
rage	شدت داشتن؛ میل مفرط	reyj
ragged	مرقع	ragad
raid	یورش کردن؛ یورش آوردن	reyd
raider	یورش برنده	reyder
rail	ریل	reyl
railroad	راه آهن؛ خط آهن	reylrod
railway	راه‌آهن	reylwey
rain	باران، باریدن	reyn
rainbow	رنگین کمان	reynbo
rainfall	بارندگی	reynfol
rainy	بارانی؛ بارونی	reyni
raise	بلند کردن، افزایش دادن	reyz
rake	شن کش	reyk
ram	غوچ؛ سنبه زدن	ram
ramify	منشعب کردن؛ شاخه دادن	ramafai
ramrod	سنبه	ramraad
ranch	دامداری کردن	ranch
rancor	کینه	rangker
random	تصادفی	randam
range	رسائی؛ برد	reynj
ranger	جنگل بان؛ هنگ سوار	reynjer
rank	پایه؛ مرتبه	rangk
ransack	زیاد کاوش کردن	ransak
ransom	فدیهدادن؛ فدیه	ransam
rapacious	حریص؛ درندهخو	rapashis / rapeyshis
rape	تجاوز بناموس کردن	reyp
rapid	سریع؛ تندرو	rapad / rapid
rapidity	تندی؛ تیزی	rapiditi
rapidly	به‌سرعت	rapadli
rapier	سخمه	reypier
rapture	حالت؛ وجد	rapcher
rapturous	هیجان انگیز	rapcheras
rare	طرفه؛ نادر	rer
rarely	کمتر؛ نادراً	rerli
rarity	ندرت؛ کمیابی	reriti
rascal	رذل؛ پدرسوخته	raskel
rash	عجول؛ سبکسر	rash
rat	موش بزرگ	rat
rate	نرخ	reyt
rather	نسبتاً	radher
ratify	بتصویب رساندن؛ به تصویب رساندن	ratafai
rating	رتبه‌بندی	reyting
ratio	تناسب	reyshio
ration	جیره؛ جیره کردن	rashen / reyshen
rational	معقول؛ عقلی	rashenel / rashnel
rationally	منطقا	rashenali / rashnali
rattle	خسخس؛ خسخس کردن	ratel
ravage	نهب؛ بلا زده کردن	ravij
ravenous	دله؛ پر اشتیاق	ravanas
raw	خام؛ نپخته	raa
ray	پرتو؛ شعاع	rey
reach	رسیدن	rich
react	واکنش نشان دادن	riakt
reaction	معرفی؛ انعکاس	riakshen
reactionary	ارتجاعی؛ مرتجع	riaksheneri
reactive	واکنشی	riaktiv
reactor	رآکتور؛ عامل واکنش	riakter
read	خواندن	red / rid
readable	خواندنی؛ قابل خواندن	ridabel
reader	خواننده	rider
readiness	آمادگی؛ سازمندی	redinas
reading	خواندن (فعل)	riding / reding
ready	آماده	redi
real	واقعی	ril
realism	رآلیسم؛ واقع بینی	rializam
realistic	واقع بین	rialistik
reality	معنی؛ حقیقت	rialiti
realization	تحقق	rilazeyshen
realize	درک کردن	rialaiz
really	واقعاًً	rili
realm	قلمرو سلطان	relm
reap	درویدن	rip
reaper	درو گر؛ ماشین درو	riper
rear	پشت؛ عقبی	rir
rearrange	بازچیدن	riereynj
rearrangement	باز چینی	riereynjmant
reason	دلیل	rizan
reasonable	معقول؛ حسابی	rizanabel / riznabel
reasonably	منطقی	rizanabli
reasoner	استدلال کننده	rizaner
reasoning	استدلال؛ تعقل	rizaning
reassure	دوباره اطمینان دادن	riashur
rebel	یاغی؛ عاصی	rebel / ribel
rebellion	شورش؛ عناد	ribelyan
rebellious	عاصی؛ شورشی	ribelyas / rabelyas
rebirth	باز زاد؛ تولد مجدد	riberth
rebound	اعاده؛ پس زدن	ribaund
rebuild	بازسازی کردن	ribild
rebuke	زخم زبان	ribyuk
recalcitrant	ناتو	rikalsitrant
recall	یاد آوردن؛ فرا خواندن	rikol
recast	ازنو ریختن	rikast
recede	دور شدن؛ پس رفتن	risid
receipt	دریافت؛ رسید	risit
receive	دریافت کردن	rasiv / risiv
receiver	گیرنده	rasiver / risiver
recent	اخیر	risant
recently	اخیراً	risantli / risanli
reception	پذیرش	risepshen
receptive	شنوا	riseptiv
receptor	گیرنده؛ ستاره مساعد	risepter
recess	فترت؛ طاقچه ساختن	rises
recession	رکود	riseshen
recipe	دستور پخت	resapi
recipient	دریافت کننده؛ وصول کننده	rasipiant / risipiant
reciprocal	معکوس	risiprakel
reciprocity	مقابله؛ عمل متقابل	resipraasiti
recital	رسیتال	rasaitel
recitation	قرائت؛ قراعت	resateyshen
recite	انشاد کردن؛ از برخواندن	rasait
reckless	بی احتیاط؛ بی پروا	reklas
reckon	محاسبه کردن	rekan
reclaim	استرداد کردن؛ استرداد نمودن	rikleym
reclamation	استرداد؛ احیا اراضی	reklameyshen
recognition	شناخت	rekagnishen / rekignishen
recognizable	شناخت پذیر	rekagnaizabel
recognize	تشخیص دادن	rekagnaiz
recoil	فنری بودن	rikoyl
recollect	دوباره جمع کردن	rekalekt / rikalekt
recollection	یادآوری	rekalekshen
recommend	توصیه کردن	rekamend
recommendation	نظریه؛ توصیه	rekamandeyshen
reconcile	آشتی کردن؛ صلح دادن	rekansail
reconciliation	آشتی	rekansilieyshen
reconsider	تجدید نظر؛ تجدید نظر کردن	rikansider
record	ضبط کردن، رکورد	rakord / rekerd
recorder	وقایع نویس	rikorder
recording	ضبط	rakording / rikording
recourse	توسل	rikors
recover	خوب شدن؛ باز یافتن	rikaver
recovery	بهبودی، بازیابی	rikavri / rikaveri
recreation	تفریح؛ نزهت	rekrieyshen
recreational	تفریحی	rekrieyshenel
recruit	استخدام کردن	rakrut / rikrut
recruitment	استخدام	rakrutmant / rikrutmant
rectangular	مستطیلی؛ راست گوشه	rektanggyaler
rectitude	راست گری؛ صحت عمل	rektitud
rector	کشیش بخش	rekter
rectum	روده راست	rektam
recuperate	نیروی تازه یافتن	rikupereyt
recuperative	اعاده دهنده؛ بهبودی بخش	rikuperativ
recur	تکرار شدن	riker
recurrence	تکرار؛ باز رخدادن	rikerans
recurrent	برگردنده؛ عود کننده	rikerant
recycle	بازیافت کردن	risaikel
red	قرمز	red
reddish	مایل بقرمز	redish
redeem	فدیهدادن	ridim
redemption	رهیی؛ باز خرید	ridempshen / ridemshen
redness	سرخی؛ حمره	rednas
redress	جبران خسارت	ridres
reduce	کاهش دادن	radus / ridus
reduction	کاهش؛ تنزل	radakshen / ridakshen
redundancy	افزونگی؛ حشو	ridandansi
redundant	حشوی؛ رمزافزونه	ridandant
reef	جزیره نما؛ مرض جرب	rif
reelection	تجدید انتخاب	riilekshen
refer	ارجاع دادن	rafer / rifer
referee	داور	referi
reference	عطف؛ مراجعه	referans / refrans
referendum	رفراندوم؛ رفراندم	referendam
referral	مراجعه	riferel
refill	دوباره پر کردن	rifil
refine	پالودن؛ تصفیه کردن	rafain / rifain
refined	مهذب؛ مصفا	rafaind / rifaind
refinement	تصفیه	rafainmant
refining	قال	rafaining / rifaining
reflect	اندیشیدن؛ بازتابیدن	riflekt
reflection	انعکاس؛ بازتاب	riflekshen
reflex	ارتجاع؛ عکسالعمل	rifleks
reform	اصلاح؛ بهسازی	raform / riform
reformer	بهساز؛ مصلح	riformer
refractory	گردن کش؛ دیر گداز	rafrakteri
refrain	روگردان بودن؛ خود داری کردن	rifreyn
refresh	حال آمدن؛ تجدید نیرو کردن	rifresh
refreshing	گوارا؛ مفرح	rifreshing
refreshment	نیرو بخشی	rafreshmant
refrigeration	تبرید؛ سرد سازی	rifrijereyshen
refrigerator	یخچال؛ یخچال برقی	rafrijereyter / rifrijereyter
refuge	پناه؛ ملجاء	refyuj
refugee	پناهنده	refyuji
refund	مسترد شدن؛ مسترد داشتن	rifand
refusal	رد؛ امتناع	rafyuzel / rifyuzel
refuse	رد کردن	rafyuz / refyuz
refutation	تکذیب	refyuteyshen
regain	باز یافتن؛ دوباره پیدا کردن	rigeyn
regard	مبالات؛ وقع	rigaard
regardless	صرفنظر از	ragaardlas
regeneration	ترمیم؛ تولید مجدد	rijenereyshen
regime	رژیم	razhim / reyzhim
regiment	هنگ	rejamant
regimental	لباس هنگ؛ لباس افسری	rejamentel
region	منطقه	rijan
regional	منطقهای؛ اقلیمی	rijanel
register	ثبت کردن؛ نام نویسی کردن	rejister
registrar	ثبت کننده؛ مدیر دروس	rejistraar
registration	ثبت‌نام	rejistreyshen
regret	تاسف؛ اسف	ragret / rigret
regretful	متاسف؛ نادم	rigretfel
regretfully	معاللتسلف؛ مع التاسف	rigretfali
regrettable	قابل تاسف؛ تاسف آور	rigretabel
regular	منظم	regyaler / reygyaler
regularity	باقاعدگی	regyaleriti
regularly	منظما	regyalerli
regulate	تنظیم کردن	regyaleyt
regulation	تنظیم؛ مقرره	regyaleyshen
regulatory	تنظیمی	regyalatori
rehabilitation	توانبخشی؛ نوتوانی	rihabilateyshen / riabilateyshen
rehearsal	تمرین؛ تمرین نمایش	rihersel
rein	عنان؛ لجام	reyn
reinforce	تقویت کردن	riinfors
reinforcement	تقویت؛ تجدید قوا	riinforsmant
reinstate	دوباره برقرار کردن؛ دوباره بکار انداختن	riinsteyt
reject	نپسندیدن؛ وازدن	rijekt
rejection	رد؛ امتناع	rijekshen
rejoice	شادی کردن؛ خوشی کردن	rijoys
rejoin	پاسخ دفاعی دادن	rijoyn
rejoinder	پاسخ دفاعی	rijoynder
relapse	عود؛ نکس	rilaps
relate	منسوب کردن؛ روایت کردن	rileyt
relation	رابطه؛ نسبت	rileyshen
relationship	رابطه	rileyshenship
relative	منسوب؛ نسبی	relativ
relatively	نسبتا	relativli
relax	استراحت کردن	rilaks
relaxation	استراحت؛ وارفتگی	rilakseyshen
relay	روله؛ رله	riley
release	آزادی؛ انتشار	rilis
relent	نرم شدن؛ رحم بدل آوردن	rilent
relentless	بی امان؛ بی مروت	rilentlis
relevance	ربط	relavans
relevant	مربوط؛ متناسب	relavant
reliability	اعتبار	rilaiabiliti
reliable	حسابی؛ معتبر	rilaiabel
reliance	اعتماد؛ تکیه	rilaians
relic	آثار مقدس	relik
relief	اعانه؛ تسکین	rilif
relieve	تسکین دادن	riliv
relieved	آسوده خاطر	rilivd
religion	دین؛ کیش	rilijan
religious	مذهبی؛ شرعی	rilijas
relinquish	چشم پوشی؛ چشم پوشی شدن	rilingkwish
relish	رغبت؛ مزه آوردن	relish
reluctance	اکراه؛ رغم	rilaktans
reluctant	بیرغبت؛ بیمیل	rilaktant
reluctantly	بالاکراه	rilaktantli
rely	اتکا کردن؛ استناد کردن	rilai
remain	باقی ماندن	rimeyn
remainder	مانده؛ مابقی	rimeynder
remark	ملاحظه؛ عرض	rimaark
remarkable	قابل توجه	rimaarkabel
remarkably	به طور قابل توجهی	rimaarkabli
remarriage	ازدواج مجدد؛ تجدید فراش	rimerij
remarry	تجدید فراش کردن	rimeri
remedy	چاره؛ درمان	remadi
remember	به یاد آوردن	rimember
remembrance	یادبود؛ یادگار	rimembrans
remind	متوجه کردن؛ یادآوری کردن	rimaind
reminder	تذکر؛ یادآور	rimainder
reminiscence	خاطره؛ یاد بود	remanisans
remission	بهبودی بیماری	rimishen
remnant	بقیه السیف	remnant
remorse	افسوس؛ پشیمانی	rimors
remote	دورافتاده؛ دوردست	rimot
remoteness	دوری	rimotnas
removable	بردنی؛ برداشتنی	rimuvabel
removal	عزل؛ فک	rimuvel
remove	حذف کردن	rimuv
remunerative	پاداشی	rimyunerativ
renaissance	رنسانس	renasaans
render	تسلیم داشتن	render
rendezvous	میعاد؛ وعدهگاه	raandivu
rending	هتک	rending
renegade	یاغی	renageyd
renew	تازه کردن؛ نو کردن	rinu
renewal	تجدید؛ بازنوکنی	rinuel
renovation	تجدید؛ نوسازی	renaveyshen
renown	نامآوری	rinaun
rent	اجاره؛ کرایه	rent
rental	کرایه؛ اجارهای	rentel
renter	اجاره دهنده؛ اجاره نشین	renter
rep	زن هرزه؛ مرد هرزه	rep / reprizetativ
repair	تعمیر کردن	riper
reparation	غرامت؛ جبران غرامت	repereyshen
repay	باز پرداختن	ripey
repayment	غرامت؛ بازپرداخت	ripeymant
repeat	تکرار کردن	ripit
repeatedly	مجددا؛ علیالتوالی	ripitidli
repel	دفع کردن	ripel
repellent	دافع؛ دافعه	ripelant
repent	توبه کردن؛ اصلاح شدن	ripent
repentance	توبه	ripentans
repetition	تکرار؛ بازگو	repatishen
replace	جایگزین کردن	ripleys / erpleys
replacement	تعویض؛ جابجائی	ripleysmant
reply	پاسخ، پاسخ دادن	riplai
report	گزارش دادن؛ گزارش، گزارش دادن	riport
reporter	خبرنگار	riporter
reporting	گزارش‌دهی	riporting
repose	دراز کشیدن	ripoz
reprehensible	ناستوده؛ سرزنش کردنی	reprihensabel
represent	نمایندگی کردن؛ نیابت کردن	reprizent
representation	نیابت	reprazenteyshen
representative	نماینده؛ حالیکننده	reprazentativ / reprizentativ
repress	باز فشردن؛ باز کوفتن	ripres
repression	سرکوبی	ripreshen
reprimand	توبیخ؛ توبیخ کردن	repramand
reprisal	جبران	ripraizel
reproach	توبیخ؛ ملامت	riproch
reproduce	تکثیر کردن؛ تناسل کردن	ripradus
reproduction	تکثیر؛ تناسل	ripradakshen
reproductive	تناسلی	ripradaktiv
reptile	خزنده	reptail
republic	جمهوری	ripablak / ripablik
republican	جمهوری‌خواه	ripablikan / ripablakan
repudiation	ردی	ripyudieyshen
repulsive	زننده؛ متنفر کننده	ripalsiv
reputable	نیکنام؛ خوشنام	repyatabel
reputation	عرض؛ شهرت	repyateyshen
repute	آوازه داشتن	ripyut
request	درخواست	rikwest
require	طلبیدن؛ مستلزمبودن	rikwaier / rikwair
requirement	نیاز؛ مقرره	rikwairmant
requisite	لازمه؛ شرط لازم	rekwazat
rescue	دریافتن؛ رهانیدن	reskyu
research	پژوهش، پژوهش کردن	riserch
researcher	پژوهشگر	risercher
resemblance	شباهت؛ تشابه	rizemblans
resemble	شبیه شدن؛ مانند بودن	rizembel
resent	اظهار رنجش کردن	rizent
resentment	غیض	rizentmant / rizenmant
reserve	ذخیره؛ محفوظ کردن	rizerv
reservoir	مخزن؛ آب انبار	rezavwaar / rezervwaar
reside	اقامت کردن؛ منزل کردن	rizaid
residence	اقامت؛ مسکن	rezidans
resident	ساکن؛ ماندنی	rezidant
residential	محلی؛ مسکونی	rezidenshel
residue	فضولات؛ فضله	rezadu
resign	استعفا دادن	rizain / risain
resignation	کنارهگیری؛ استعفا	rezagneyshen / rezigneyshen
resin	رزین؛ راتیانج	rezan / rezin
resist	مقاومت کردن؛ ایستادگی کردن	rizist
resistance	مقاومت؛ استقامت	rizistans
resistant	مقاوم	rizistant
resolute	مصمم؛ باعزم	rezalut
resolution	قطعنامه، وضوح	rezalushen
resolve	تحلیل کردن؛ اراده کردن	rizaalv
resonance	پرطنینی؛ ایجاد طنین	rezanans
resonant	پرطنین؛ طنین دار	rezanant
resort	توسل؛ تمسک کردن	rizort / risort
resources	ذخایر	risorsiz
respect	احترام؛ ملاحظه	rispekt
respectability	نیکنامی	rispektabiliti
respectable	شریف؛ نیکنام	rispektabel
respectful	حرمتی؛ احترامی	rispektfel
respectfully	محترمانه؛ محترما	rispektfali
respective	مربوطه	rispektiv
respectively	بترتیب؛ به ترتیب	rispektivli
respiration	تنفس	respereyshen
respiratory	تنفسی	resperatori
respite	مهلت؛ فرجه دادن	respit
respond	پاسخ دادن	rispaand
respondent	واکنش دار	rispaandant
response	پاسخ	rispaans
responsibility	وظیفه؛ عهده	rispaansabiliti
responsible	متصدی؛ مسئول	rispaansabel
responsive	جوابی؛ پاسخی	rispaansiv
rest	استراحت، استراحت کردن؛ بقیه	rest
restatement	بیان مجدد	risteytmant
restaurant	رستوران	resteraant / restraant
restful	غنوده؛ راحتبخش	restfel
restitution	جبران؛ غرامت	restitushen
restive	کله شق	restiv
restless	بی قرار؛ بی خواب	restlas
restlessness	ناصبوری؛ بی آرامی	restlasnas
restoration	تجدید؛ بازسازی	restereyshen
restore	بازگرداندن	ristor
restrain	مهار کردن	ristreyn
restraint	جلو گیری	ristreynt
restrict	محدود کردن	ristrikt
restriction	محدودیت	ristrikshen
result	نتیجه	rizalt
resultant	برآیند؛ منتجه	rizaltant
resume	از سر گرفتن	rizum / rezamey
resumption	ادامه؛ باز یافت	rizampshen / rizamshen
resurrection	حشر؛ رستاخیز	rezerekshen
retail	خرده فروشی	riteyl
retailer	خرده فروش	riteyler
retailing	خرده فروشی	riteyling
retaliate	تلافی کردن؛ تقاص کردن	ritalieyt
retaliation	تلافی؛ تقص	ritalieyshen
retard	عقبانداختن؛ کند ساختن	ritaard
retarded	عقبافتاده	ritaardid / ritaardad
retention	حبس	ritenshen
reticent	کم گو؛ کم حرف	retisant
retire	بازنشسته کردن؛ منزوی شدن	ritair / ritaier
retirement	بازنشستگی	ritaiermant
retort	تلافی؛ جواب متقابل	ritort
retract	در کشیدن؛ نکول کردن	ritrakt
retraction	نکول؛ استغفار	ritrakshen
retreat	عقب زدن؛ عقب نشینی	ritrit
retribution	سزا	retrabyushen
return	بازگشت، بازگشتن	ritern
reunion	باز پیوست؛ بهم پیوستگی	riunyan
reunite	دوباره متحد کردن؛ دوباره یکی شدن	riunait
rev	تند گشتن	rev
reveal	آشکار کردن؛ ظاهر کردن	rivil
revelation	الهام؛ مکاشفه	revaleyshen
revelry	عیاشی	revalri
revenge	انتقام؛ خونخواهی	rivenj
revenue	درآمد	revanu / revanyu
reverberate	ولوله انداختن	riverberat / riverbereyt
reverberation	طنین	riverbereyshen
reverence	حرمت؛ تکریم	reverans
reverential	حرمتی؛ احترامی	reverenshel
reverently	احتراماً	reverantli
reverie	خیال خام؛ خیال واهی	reveri
reverse	معکوس؛ ظهر	rivers
revert	عود کردن؛ رجوع کردن	rivert
review	مرور، مرور کردن	rivyu
revise	تجدید نظر کردن	rivaiz
revision	بازنگری	rivizhen
revival	احیا؛ تجدد	rivaivel
revive	احیا کردن؛ احیاء کردن	rivaiv
revolt	طغیان؛ اغتشاش	rivolt
revolution	انقلاب	revalushen
revolutionary	انقلابی؛ آشوبگر	revalusheneri
revolve	دور زدن	rivaalv
revolver	رولور؛ ششلول	rivaalver
revulsion	ردع؛ تصریف	rivalshen
reward	مژده؛ تلافی	riword
rhetoric	لفاظی؛ خطابت	reterik
rheumatic	روماتیسمی	rumatik
rhyme	پساوند؛ قافیه ساختن	raim
rhythm	ضرب؛ نواخت	ridham
rhythmic	مسجع؛ پرنواخت	ridhmik
rib	دنده؛ مرز گذاشتن	rib
ribbon	نوار؛ روبان	riban
rice	برنج	rais
rich	ثروتمند	rich
richness	خرپولی	richnas
rid	خلاص کردن؛ رهانیدن از	rid
riddle	لغز؛ معما	ridel
ride	سواری؛ سواری، سوار شدن	raid
rider	سوار؛ الحاقیه	raider
ridge	خرپشته؛ مرز بندی کردن	rij
ridicule	ریشخند؛ استهزا	ridakyul
ridiculous	مسخره	ridikyalas
rifle	تفنگ؛ عده تفنگدار	raifel
rift	شکاف؛ شکاف دهنده	rift
right	درست، سمت راست	rait
righteous	عادلانه؛ صالح	raichas
righteousness	حق گذاری	raichasnas
rightful	حقه؛ حقدار	raitfel
rightly	به‌طور صحیح	raitli
rigid	نرم نشو	rijad / rijid
rim	کمانه؛ زهوار	rim
ring	حلقه؛ زنگ زدن	ring
ringleader	سر دسته؛ سر حلقه	ringlider
rinsing	مظمظه؛ غر غره	rinsing
riot	آشوب؛ شورش	raiat
riotous	غوغائی؛ آشوبگرانه	raiatas
rip	درانیدن؛ چاک دادن	rip
ripe	رسیده؛ چیدنی	raip
rise	بالا رفتن	raiz
riser	برخیزنده؛ بلند شونده	raizer
risk	خطر؛ ریسک	risk
risky	پرخطر	riski
rite	فرمان اساسی	rait
ritual	آداب نماز	richuel
rival	رقیب	raivel
rivalry	رقابت؛ همچشمی	raivalri
river	رودخانه	river
rivet	پرچه؛ پرچ کردن	rivat
road	جاده	rod
roadside	کنار جاده	rodsaid
roadway	شوسه؛ زمین جاده	rodwey
roam	پرسه زدن	rom
roan	تیماج؛ زرپور	ron
roar	غرش؛ غریو	ror
roast	برشتن؛ سرخ کردن	rost
rob	سرقت کردن	raab
robber	چپاولگر؛ غارتگر	raaber
robbery	سرقت	raaberi
robe	خرقه؛ حله	rob
robust	هیکل دار؛ قوی هیکل	robast
rock	راک (موسیقی)؛ صخره	raak
rocket	موشک	raakat
rocky	سنگی؛ صخرهای	raaki
rod	میله؛ میل	raad
rogue	رند	rog
role	نقش	rol
roll	گردیدن؛ غلت	rol
roller	نورد؛ منگنه	roler
roman	رومی	roman
romance	عاشقانه	romans
romantic	خیالپرست؛ غیر ممکن	romantik
rome	رم؛ روم	rom
roof	سقف	ruf
rook	رخ؛ شاهرخ	ruk
room	اتاق	rum
root	ریشه؛ سنخ	rut
rope	بند؛ طناب	rop
rosary	تسبیح	rozeri
rose	گل رز	roz
rosy	گلرنگ؛ گل پاشیده	rozi
rot	پوسیدن؛ گندیدن	raat
rotate	چرخان؛ دوران کردن	roteyt
rotation	گشتن؛ چرخه	roteyshen
rotten	فاسد؛ ضایع	raatan
rotund	گلوله وار	rotand
rough	زبر؛ زمخت	raf
roughly	تقریباً	rafli
roughness	زبری؛ ناصافی	rafnas
round	گرد، دور	raund
rouse	رماندن	raus / rauz
rousing	منبه	rauzing
rout	هزیمت؛ تار و مار کردن	raut
route	مسیر	rut / raut
routine	روتین	rutin
row	ردیف؛ رده	ro
royal	سلطنتی؛ شاهانه	royel
royalist	شاه پرست؛ طرفدار سلطنت	royalist
royalty	حقالامتیاز؛ حق امتیاز	royalti
rub	مالیدن؛ ساییدن	rab
rubber	لاستیک؛ لاستیکی	raber
rubbish	آشغال	rabish
ruble	منات	rubel
ruddy	گلچهره؛ شنجرفی	radi
rude	گستاخ	rud
rudely	گستاخانه؛ باگستاخی	rudli
rudeness	بدزبانی؛ گستاخی	rudnas
rue	سداب	ru
ruffle	ناصاف کردن	rafel
ruin	خراب کردن، خرابی	ruan / ruin
rule	قانون	rul
ruler	فرمانروا؛ حکمران	ruler
ruling	حاکم؛ حکمفرما	ruling
rum	عرق نیشکر	ram
rumor	چو؛ شایعه	rumer
rumour	شهرت دادن	rumer
run	دویدن	ran
runaway	دررفته؛ فراری	ranawey
rung	اسپوک؛ پله نردبان	rang
runner	دونده	raner
running	دویدن	raning
rupture	ترکیدن	rapcher
rural	رعیتی	rurel
rush	تازیدن؛ هجوم کردن	rash
russia	روسیه	rasha
russian	روسی؛ زبان روسی	rashen
rust	زنگ؛ زنگار	rast
rustle	خشخش؛ خش خش کردن	rasel
rusty	زنگ زده	rasti
rut	گشن؛ خط انداختن	rat
ruthless	ظالم؛ ظالمانه	ruthlas
ruthlessly	ظالمانه؛ بیرحمانه	ruthlasli
rye	چاودار	rai
saber	باشمشیر زدن	seyber
sable	سمور	seybel
sack	تبره؛ خورجین	sak
sacred	مقدس؛ حرام	seykrad / seykrid
sacrifice	قربانی؛ فداکاری	sakrafais
sad	غمگین	sad
sadden	افسردن؛ افسرده کردن	sadan
saddle	زین؛ غاشیه	sadel
sadly	با ناراحتی	sadli
sadness	افسردگی؛ پژمانی	sadnas
safe	امن	seyf
safeguard	صیانت کردن؛ امن نگهداشتن	seyfgaard
safety	اطمینان؛ امان	seyfti
saffron	زعفران؛ سورنجان	safran
sages	عقلا	seyjiz
sagittal	پیکانی	sajatel
sail	دریانوردی کردن	seyl
sailing	دریانوردی	seyling
sailor	ناوی؛ دریانورد	seyler
saint	مقدس شمردن	seynt
sake	خاطر	seyk
salad	سالاد	salad
salary	حقوق	saleri
sale	فروش	seyl
salesman	فروشنده	seylzman
saline	نمک دار؛ درجه شوری	salin
saliva	تف؛ بزاق	salaiva
salmon	ماهی آزاد	saman
salon	آرایشگاه	salaan
salt	نمک	solt
salutary	درودی؛ سلامت بخش	salyateri
salute	سرلام کردن؛ سلام دادن	salut
salvation	نجاح؛ رستگاری	salveyshen
salve	ضماد گذاشتن	saav
sam	سام	sam
same	یکسان	seym
sample	نمونه؛ الگو	sampel
sanction	ضمانت اجراء	sangkshen
sanctity	علو مقام	sangktiti
sanctuary	بست؛ تحصن	sangkchueri
sand	شن؛ ریگ	sand
sandstone	سنگ سیاه؛ ماسه سنگ	sandston / sanston
sandwich	ساندویچ	sandwich / sanwich
sanguine	دموی	sanggwin
sanitary	بهداشتی؛ صحی	saniteri
santa	پاپانول	santa / sana
sap	شیره؛ شیره گیاهی	sap
sarcasm	کنایه؛ متلک	saarkazam
